Fully Researched,FinalName,CustomSeeName,Name,Status,YearStart,YearEnd,Latitude,Longitude,PriorUse,Comment
FALSE,Flint Sanitarium,,Flint Medical and Surgical Institute and Hospital,moved,1884,9999,43.0213673,-83.69359086,,
FALSE,Flint Sanitarium,,Flint Sanitarium,active,1882,1889,43.02041441,-83.69719335,,
FALSE,Flint Sanitarium,,Flint Sanitarium,closed,1889,1894,43.02041441,-83.69719335,,
,,,,,,,,,,
# Handle Genesys East Flint Campus,,,,,,,,,,
FALSE,Genesys East Flint Campus,,St. Joseph Hospital,activeProposal,1920,1921,43.01020359,-83.69607612,,
FALSE,Genesys East Flint Campus,,St. Joseph Hospital,active,1921,1936,43.01020359,-83.69607612,,
FALSE,Genesys East Flint Campus,,St. Joseph Hospital,moved,1936,9999,43.01020359,-83.69607612,,
FALSE,Genesys East Flint Campus,,St. Joseph Hospital,activeProposal,1929,1936,43.02395532,-83.66740475,,
FALSE,Genesys East Flint Campus,,St. Joseph Hospital,active,1936,1992,43.02395532,-83.66740475,,
FALSE,Genesys East Flint Campus,,Genesys St. Joseph Hospital,active,1992,1998,43.02395532,-83.66740475,,
FALSE,Genesys East Flint Campus,,Genesys East Flint Campus,active,1998,2002,43.02395532,-83.66740475,,
FALSE,Genesys East Flint Campus,,Genesys East Flint Campus,activeProposal,2001,2002,43.03117267,-83.63464825,,
FALSE,Genesys East Flint Campus,,Genesys East Flint Campus,active,2002,2011,43.03117267,-83.63464825,,
FALSE,Genesys East Flint Campus,,Genesys East Flint Campus,closed,2011,9999,43.03117267,-83.63464825,,
,,,,,,,,,,
# Handle Genesys-Hurley Cancer Institute,,,,,,,,,,
FALSE,Genesys-Hurley Cancer Institute,,Genesys-Hurley Cancer Institute,active,2002,9999,43.02395532,-83.66740475,Genesys East Flint Campus,
,,,,,,,,,,
# Handle Genesys West Flint Campus,,,,,,,,,,
FALSE,Genesys West Flint Campus,,Flint Osteopathic Hospital,active,1934,1936,43.02441063,-83.69833404,,
FALSE,Genesys West Flint Campus,,Still Osteopathic Hospital,active,1936,1941,43.02441063,-83.69833404,,
FALSE,Genesys West Flint Campus,,Still Osteopathic Hospital,moved,1941,9999,43.02441063,-83.69833404,,
FALSE,Genesys West Flint Campus,,Still Osteopathic Hospital,active,1941,1946,43.02056504,-83.69988226,,
FALSE,Genesys West Flint Campus,,Flint Osteopathic Hospital,active,1946,1960,43.02056504,-83.69988226,,
FALSE,Genesys West Flint Campus,,Flint Osteopathic Hospital,activeProposal,1950,1960,43.01299399,-83.73580112,,
FALSE,Genesys West Flint Campus,,Flint Osteopathic Hospital,moved,1960,9999,43.02056504,-83.69988226,,
FALSE,Genesys West Flint Campus,,Flint Osteopathic Hospital,active,1960,1992,43.01299399,-83.73580112,,
FALSE,Genesys West Flint Campus,,Genesys Flint Osteopathic Hospital,active,1992,1998,43.01299399,-83.73580112,,
FALSE,Genesys West Flint Campus,,Genesys West Flint Campus,active,1998,2011,43.01299399,-83.73580112,,
FALSE,Genesys West Flint Campus,,Genesys West Flint Campus,closed,2011,9999,43.01299399,-83.73580112,,
,,,,,,,,,,
# Handle Genesys Wheelock Memorial Hospital,,,,,,,,,,
FALSE,Genesys Wheelock Memorial Hospital,,Goodrich General Hospital,active,1916,1962,42.91660729,-83.50885196,,
FALSE,Genesys Wheelock Memorial Hospital,,Goodrich General Hospital,closed,1962,9999,42.91660729,-83.50885196,,
FALSE,Genesys Wheelock Memorial Hospital,,Wheelock Memorial Hospital,activeProposal,1962,1964,42.92521165,-83.50420123,,
FALSE,Genesys Wheelock Memorial Hospital,,Wheelock Memorial Hospital,active,1964,1992,42.92521165,-83.50420123,,
FALSE,Genesys Wheelock Memorial Hospital,,Genesys Wheelock Memorial Hospital,active,1992,1998,42.92521165,-83.50420123,,
FALSE,Genesys Wheelock Memorial Hospital,,Genesys Wheelock Memorial Hospital,closed,1998,9999,42.92521165,-83.50420123,,
,,,,,,,,,,
# Handle Glenwood Hospital,,,,,,,,,,
FALSE,Glenwood Hospital,,Glenwood Hospital,active,1918,1919,43.00823228,-83.70697525,,
FALSE,Glenwood Hospital,,Glenwood Hospital,closed,1919,9999,43.00823228,-83.70697525,,
,,,,,,,,,,
# Handle Hospital at City Mission,,,,,,,,,,
FALSE,Hospital at City Mission,,Hospital at City Mission,active,1920,1921,43.01364545,-83.68827206,,
FALSE,Hospital at City Mission,,Hospital at City Mission,closed,1921,9999,43.01364545,-83.68827206,,
,,,,,,,,,,
# Handle Industrial Medical Center,,,,,,,,,,
FALSE,Industrial Medical Center,,Industrial Medical Center,active,1965,1988,43.00710311,-83.69337859,,
FALSE,Industrial Medical Center,,Industrial Medical Center,closed,1988,9999,43.00710311,-83.69337859,,
,,,,,,,,,,
# Handle Industrial Mutual Association Hospital,,,,,,,,,,
FALSE,Industrial Mutual Association Hospital,,Industrial Mutual Association Hospital,activeProposal,1924,1925,43.02008266,-83.69317974,,
FALSE,Industrial Mutual Association Hospital,,Industrial Mutual Association Hospital,previousProposal,1925,9999,43.02008266,-83.69317974,,
,,,,,,,,,,
# Handle Insight Institute of Neurosurgery and Neuroscience,,,,,,,,,,
FALSE,Insight Institute of Neurosurgery and Neuroscience,,Insight Institute of Neurosurgery and Neuroscience,active,2008,9999,42.98310626,-83.67643294,,
,,,,,,,,,,
# Handle Karmanos Cancer Institute at McLaren Flint,,,,,,,,,,
FALSE,Karmanos Cancer Institute at McLaren Flint,,McLaren Regional Cancer Center,activeProposal,1988,1990,43.01494737,-83.73588841,,
FALSE,Karmanos Cancer Institute at McLaren Flint,,McLaren Regional Cancer Center,active,1990,2001,43.01494737,-83.73588841,,
FALSE,Karmanos Cancer Institute at McLaren Flint,,Great Lakes Cancer Institute,active,2001,2012,43.01494737,-83.73588841,,
FALSE,Karmanos Cancer Institute at McLaren Flint,,McLaren Cancer Institute,active,2012,2016,43.01494737,-83.73588841,,
FALSE,Karmanos Cancer Institute at McLaren Flint,,Karmanos Cancer Institute at McLaren Flint,active,2016,9999,43.01494737,-83.73588841,,
,,,,,,,,,,
# Handle Lawrence Chautauqua Hospital,,,,,,,,,,
FALSE,Lawrence Chautauqua Hospital,,Lawrence Chautauqua Hospital,active,1915,1919,43.03875363,-83.69604375,,
FALSE,Lawrence Chautauqua Hospital,,Lawrence Chautauqua Hospital,closed,1919,9999,43.03875363,-83.69604375,,
,,,,,,,,,,
# Handle McLaren Fenton,,,,,,,,,,
FALSE,McLaren Fenton,,McLaren Fenton,active,2020,9999,42.79047457,-83.72322095,,
,,,,,,,,,,
# Handle McLaren Flint,,,,,,,,,,
FALSE,McLaren Flint,,Elliott-Girard Hospital,active,1917,1919,43.01338811,-83.6869538,,
FALSE,McLaren Flint,,The Women's Hospital,active,1919,1923,43.01338811,-83.6869538,,
FALSE,McLaren Flint,,The Women's Hospital,moved,1923,9999,43.01338811,-83.6869538,,
FALSE,McLaren Flint,,The Women's Hospital,activeProposal,1920,1923,43.00903339,-83.66975135,,
FALSE,McLaren Flint,,The Women's Hospital,active,1923,1951,43.00903339,-83.66975135,,
FALSE,McLaren Flint,,The Women's Hospital,moved,1951,9999,43.00903339,-83.66975135,,
FALSE,McLaren Flint,,The Women's Hospital,activeProposal,1945,1946,43.01895305,-83.67051254,,
FALSE,McLaren Flint,,The Women's Hospital,previousProposal,1946,9999,43.01895305,-83.67051254,,
FALSE,McLaren Flint,,The Women's Hospital,activeProposal,1947,1951,43.01409956,-83.73263708,,
FALSE,McLaren Flint,,McLaren General Hospital,active,1951,1990,43.01409956,-83.73263708,,
FALSE,McLaren Flint,,McLaren Regional Medical Center,active,1990,2012,43.01409956,-83.73263708,,
FALSE,McLaren Flint,,McLaren Flint,active,2012,9999,43.01409956,-83.73263708,,
,,,,,,,,,,
# Handle Metzger Maternity Home,,,,,,,,,,
FALSE,Metzger Maternity Home,,Metzger Maternity Home,active,1927,1931,42.98837204,-83.66643957,,
FALSE,Metzger Maternity Home,,Metzger Maternity Home,closed,1931,9999,42.98837204,-83.66643957,,
,,,,,,,,,,
# Handle Michigan School for the Deaf,,,,,,,,,,
FALSE,Michigan School for the Deaf,,Michigan Asylum for Educating the Deaf and Dumb and Blind,activeProposal,1849,1856,43.00521727,-83.70327642,,Property was purchased here in 1849 to build it.
FALSE,Michigan School for the Deaf,,Michigan Asylum for Educating the Deaf and Dumb and Blind,active,1854,1856,43.00767606,-83.68657234,,
FALSE,Michigan School for the Deaf,,Michigan Asylum for Educating the Deaf and Dumb and Blind,moved,1856,9999,43.00767606,-83.68657234,,
FALSE,Michigan School for the Deaf,,Michigan Asylum for Educating the Deaf and Dumb and Blind,active,1856,1867,43.00521727,-83.70327642,,
FALSE,Michigan School for the Deaf,,Michigan Institution for Educating the Deaf and Dumb and Blind ,active,1867,1880,43.00521727,-83.70327642,,
FALSE,Michigan School for the Deaf,,Michigan Institution for Educating the Deaf and Dumb,active,1880,1887,43.00521727,-83.70327642,,
FALSE,Michigan School for the Deaf,,Michigan School for the Deaf,active,1887,1913,43.00521727,-83.70327642,,
FALSE,Michigan School for the Deaf,,Michigan School for the Deaf,closed,1913,1914,43.00521727,-83.70327642,,
FALSE,Michigan School for the Deaf,,Michigan School for the Deaf,active,1914,1945,43.00521727,-83.70327642,,
FALSE,Michigan School for the Deaf,,Michigan School for the Deaf,closed,1945,9999,43.00521727,-83.70327642,,"After this point, the facility stopped acting as a hospital."
,,,,,,,,,,
# Handle MultiCo,,,,,,,,,,
FALSE,Mediclinic,MultiCo,Mediclinic,active,1970,1973,43.02161552,-83.70116132,,
FALSE,Mediclinic,MultiCo,Mediclinic,closed,1973,9999,43.02161552,-83.70116132,,
FALSE,Pediatric Mediclinic,MultiCo,Pediatric Mediclinic,active,1971,1972,43.00709868,-83.70318352,,
FALSE,Pediatric Mediclinic,MultiCo,Pediatric Mediclinic,closed,1972,9999,43.00709868,-83.70318352,,
FALSE,MultiCo Grand Blanc Psychiatric Hospital,MultiCo,MultiCo Grand Blanc Psychiatric Hospital,activeProposal,1971,1973,42.93023004,-83.59568323,,
FALSE,MultiCo Grand Blanc Psychiatric Hospital,MultiCo,MultiCo Grand Blanc Psychiatric Hospital,previousProposal,1973,9999,42.93023004,-83.59568323,,
FALSE,MultiCo Fenton Hospital,MultiCo,MultiCo Fenton Hospital,activeProposal,1971,1973,42.79871348,-83.72245889,,
FALSE,MultiCo Fenton Hospital,MultiCo,MultiCo Fenton Hospital,previousProposal,1973,9999,42.79871348,-83.72245889,,
FALSE,MultiCo Flint General Hospital,MultiCo,MultiCo Flint General Hospital,activeProposal,1971,1972,43.0213732,-83.70082461,,
FALSE,MultiCo Flint Psychiatric Hospital,MultiCo,MultiCo Flint Psychiatric Hospital,activeProposal,1972,1973,43.0213732,-83.70082461,,
FALSE,MultiCo Flint Psychiatric Hospital,MultiCo,MultiCo Flint Psychiatric Hospital,previousProposal,1973,9999,43.0213732,-83.70082461,,
,,,,,,,,,,
# Handle Nemo Hospital,,,,,,,,,,
FALSE,Nemo Hospital,,Nemo Hospital,active,1916,1917,43.00903222,-83.68169383,,
FALSE,Nemo Hospital,,Nemo Hospital,closed,1917,9999,43.00903222,-83.68169383,,
,,,,,,,,,,
# Handle Oak Grove Sanitarium,,,,,,,,,,
FALSE,Oak Grove Sanitarium,,Oak Grove Sanitarium,active,1891,1921,43.02149848,-83.67913716,,
FALSE,Oak Grove Sanitarium,,Oak Grove Sanitarium,closed,1921,9999,43.02149848,-83.67913716,,
,,,,,,,,,,
# Handle Otter Lake Medical and Surgical Sanitarium,,,,,,,,,,
FALSE,Otter Lake Medical and Surgical Sanitarium,,Otter Lake Medical and Surgical Sanitarium,active,1904,1923,43.2213614,-83.45924647,,
FALSE,Otter Lake Medical and Surgical Sanitarium,,Otter Lake Medical and Surgical Sanitarium,closed,1923,1924,43.2213614,-83.45924647,,
,,,,,,,,,,
# Handle Riverfront Medical Center,,,,,,,,,,
FALSE,Riverfront Medical Center,,Riverfront Medical Center,active,1982,2002,43.01465172,-83.68740219,,
FALSE,Riverfront Medical Center,,Riverfront Medical Center,closed,2002,9999,43.01465172,-83.68740219,,
,,,,,,,,,,
# Handle Smallpox Pest House,,,,,,,,,,
FALSE,Smallpox Pest House,,Smallpox Pest House,active,1877,1878,43.00451695,-83.68318561,,
FALSE,Smallpox Pest House,,Smallpox Pest House,closed,1878,9999,43.00451695,-83.68318561,,
,,,,,,,,,,
# Handle St. Paul's Church Emergency Hospital,,,,,,,,,,
FALSE,St. Paul's Church Emergency Hospital,,St. Paul's Church Emergency Hospital,active,1918,1919,43.01413785,-83.68857268,,
FALSE,St. Paul's Church Emergency Hospital,,St. Paul's Church Emergency Hospital,closed,1919,9999,43.01413785,-83.68857268,,
,,,,,,,,,,
# Handle The Surgery Center,,,,,,,,,,
FALSE,The Surgery Center,,The Surgery Center,activeProposal,1996,1998,42.97524612,-83.77915036,,
FALSE,The Surgery Center,,The Surgery Center,active,1998,9999,42.97524612,-83.77915036,,
,,,,,,,,,,
# Handle Turning Point Recovery Center,,,,,,,,,,
FALSE,Turning Point Recovery Center,,Turning Point Recovery Center,active,1995,2013,43.2213614,-83.45924647,,
FALSE,Turning Point Recovery Center,,Turning Point Recovery Center,closed,2013,9999,43.2213614,-83.45924647,,
,,,,,,,,,,
# Handle Vincent Maternity Hospital,,,,,,,,,,
FALSE,Vincent Maternity Hospital,,Vincent Maternity Hospital,active,1926,1927,43.00431546,-83.71506549,,
FALSE,Vincent Maternity Hospital,,Vincent Maternity Hospital,moved,1927,9999,43.00431546,-83.71506549,,
FALSE,Vincent Maternity Hospital,,Vincent Maternity Hospital,active,1927,1928,43.00596737,-83.71412175,,
FALSE,Vincent Maternity Hospital,,Vincent Maternity Hospital,moved,1928,9999,43.00596737,-83.71412175,,
FALSE,Vincent Maternity Hospital,,Vincent Maternity Hospital,active,1928,1929,43.00552177,-83.71306127,,
FALSE,Vincent Maternity Hospital,,Vincent Maternity Hospital,closed,1929,9999,43.00552177,-83.71306127,,
,,,,,,,,,,
# Handle Walter Winchester Unit of Genesee Memorial Hospital,,,,,,,,,,
FALSE,Walter Winchester Unit of Genesee Memorial Hospital,,Genesee County House/Farm,active,1847,1903,42.98114031,-83.67335076,,
FALSE,Walter Winchester Unit of Genesee Memorial Hospital,,Genesee County Infirmary,active,1903,1928,42.98114031,-83.67335076,,
FALSE,Walter Winchester Unit of Genesee Memorial Hospital,,Genesee County Infirmary,moved,1928,9999,42.98114031,-83.67335076,,
FALSE,Walter Winchester Unit of Genesee Memorial Hospital,,Genesee County Infirmary,activeProposal,1927,1928,43.03654262,-83.75626964,,
